"Project: видеоплеер на сайте https://www.youtube.com
Date: 17.03.2024
Environment: FireFox Web Browser 123.0.1 (64-разрядный)
Author: Виктор Царев    
Preconditions: Пользователь запустил произвольное видео
",,,
№ проверки,Название проверки,Результат прохождения,Ссылка на дефект
Запуск видео,,,
1,Плеер открывается и доступен,,
2,Видео запускается,,
3,Отображается видео-контент и воспроизводится звуковой контент в плеере,,
4,Остановка видео,,
5,Перемотка видео вперед,,
6,Перемотка видео назад,,
7,Возможность воспроизвести видео с любого момента видео-контента,,
8,Возможность переключения на предыдущее/следующее видео,,
9,После завершения видео возможно запустить повтор текущего видео,,
Звук видео,,,
10,"Перевод звука в режим ""отключен""",,
11,"Перевод звука в режим ""включен""",,
12,Регулируется уровень звука в плеере,,
Работа с картинкой,,,
13,Плеер разворачивается в полноэкранный режим,,
14,Плеер выходит из полноэкранного режима,,
15,Открывается/закрывается минипроигрыватель,,
16,"Открывается/закрывается функция ""Широкий экран""",,
17,Регулируется качество видео,,
Время видео,,,
18,Корректно отображается время с момента начала воспроизведения видео,,
19,Корректно отображается полное время видео,,
Дополнительные возможности,,,
20,Панель настройки открывается/сворачивается,,
21,Регулируется скорость воспроизведения видео,,
22,Включаются/отключаются доступные субтитры в плеере,,
23,"Открывается/закрывается функция ""Широкий экран""",,
24,Субтитры отображаются корректно в плеере,,
